"locus_tag","gene","protein_id","kegg_id_kegg","kegg_id_eggnog","kegg_id_koala","dbcan_family","cayman_family","kegg_consensus"
"I5Q89_10785","pcrA","QQR11470.1","K03657","K03657",NA,NA,NA,"K03657"
"I5Q89_10790","ligA","QQR11471.1","K01972","K01972",NA,NA,NA,"K01972"
"I5Q89_10795","gatC","QQR11472.1","K02435","K02435",NA,NA,NA,"K02435"
"I5Q89_10800","gatA","QQR11473.1","K02433","K02433",NA,NA,NA,"K02433"
"I5Q89_10805","gatB","QQR11474.1","K02434","K02434",NA,NA,NA,"K02434"
"I5Q89_10810",NA,"QQR11475.1","K07029","K07029",NA,NA,NA,"K07029"
"I5Q89_10815","rlmD","QQR11476.1","K03215","K03215",NA,NA,NA,"K03215"
"I5Q89_10820",NA,"QQR11477.1",NA,"K03671",NA,NA,NA,"K03671"
"I5Q89_10825",NA,"QQR13482.1",NA,"K20971,K21685",NA,NA,NA,"K20971,K21685"
"I5Q89_10830",NA,"QQR11478.1","K13252","K13252",NA,NA,NA,"K13252"
"I5Q89_10835",NA,"QQR11479.1","K20265","K20265",NA,NA,NA,"K20265"
"I5Q89_10840","aguA","QQR11480.1","K10536","K10536",NA,NA,NA,"K10536"
"I5Q89_10845","arcC","QQR11481.1","K00926","K00926",NA,NA,NA,"K00926"
"I5Q89_10850",NA,"QQR11482.1","K01426","K01426",NA,NA,NA,"K01426"
"I5Q89_10855",NA,"QQR11483.1","K03811","K03811",NA,NA,NA,"K03811"
"I5Q89_10860",NA,"QQR11484.1",NA,"K10353,K25641",NA,NA,NA,"K10353,K25641"
"I5Q89_10865",NA,"QQR11485.1",NA,NA,NA,NA,NA,NA
"I5Q89_10870",NA,"QQR11486.1",NA,NA,NA,NA,NA,NA
"I5Q89_10875",NA,"QQR11487.1",NA,NA,NA,NA,NA,NA
"I5Q89_10880",NA,"QQR11488.1","K06956","K06956",NA,NA,NA,"K06956"
"I5Q89_10885",NA,"QQR11489.1","K13275","K01342,K08651,K13274,K13275,K13277,K14645,K14743,K17734,K20276,K20486,K24454",NA,NA,NA,"K01342,K08651,K13274,K13275,K13277,K14645,K14743,K17734,K20276,K20486,K24454"
"I5Q89_10890",NA,"QQR11490.1",NA,NA,NA,NA,NA,NA
"I5Q89_10895",NA,"QQR11491.1",NA,NA,NA,NA,NA,NA
"I5Q89_10900",NA,"QQR11492.1",NA,"K01759",NA,NA,NA,"K01759"
"I5Q89_10905",NA,"QQR11493.1",NA,"K22580",NA,NA,NA,"K22580"
"I5Q89_10910",NA,"QQR13483.1",NA,NA,NA,NA,NA,NA
"I5Q89_10915",NA,"QQR11494.1","K07146","K07146",NA,NA,NA,"K07146"
"I5Q89_10920",NA,"QQR11495.1",NA,"K13733",NA,NA,NA,"K13733"
"I5Q89_10925",NA,"QQR11496.1",NA,NA,NA,NA,NA,NA
"I5Q89_10930",NA,"QQR11497.1",NA,NA,NA,NA,NA,NA
"I5Q89_10935",NA,"QQR11498.1",NA,NA,NA,NA,NA,NA
"I5Q89_10940",NA,"QQR11499.1",NA,NA,NA,NA,NA,NA
"I5Q89_10950",NA,"QQR11500.1",NA,NA,NA,NA,NA,NA
"I5Q89_10955",NA,"QQR11501.1",NA,NA,NA,NA,NA,NA
"I5Q89_10960",NA,"QQR11502.1","K01534","K01534",NA,NA,NA,"K01534"
"I5Q89_10965",NA,"QQR11503.1",NA,"K07507",NA,NA,NA,"K07507"
"I5Q89_10970",NA,"QQR11504.1","K10038","K10038",NA,NA,NA,"K10038"
"I5Q89_10975",NA,"QQR11505.1","K10036","K10036,K10037",NA,NA,NA,"K10036,K10037"
"I5Q89_10980","uvrB","QQR11506.1","K03702","K03702",NA,NA,NA,"K03702"
"I5Q89_10985","uvrA","QQR11507.1","K03701","K03701",NA,NA,NA,"K03701"
"I5Q89_10990",NA,"QQR11508.1",NA,NA,NA,NA,NA,NA
"I5Q89_10995","rapZ","QQR11509.1","K06958","K06958",NA,NA,NA,"K06958"
"I5Q89_11000",NA,"QQR11510.1",NA,NA,NA,NA,NA,NA
"I5Q89_11005","whiA","QQR11511.1","K09762","K09762",NA,NA,NA,"K09762"
"I5Q89_11010",NA,"QQR11512.1",NA,NA,NA,NA,NA,NA
"I5Q89_11015",NA,"QQR11513.1",NA,"K03981",NA,NA,NA,"K03981"
"I5Q89_11020","clpP","QQR11514.1","K01358","K01358",NA,NA,NA,"K01358"
"I5Q89_11025",NA,"QQR11515.1",NA,NA,NA,NA,NA,NA
"I5Q89_11030",NA,"QQR11516.1",NA,NA,NA,NA,NA,NA
"I5Q89_11035",NA,"QQR11517.1",NA,NA,NA,NA,NA,NA
"I5Q89_11040",NA,"QQR11518.1",NA,NA,NA,NA,NA,NA
"I5Q89_11045",NA,"QQR11519.1","K01126","K01126",NA,NA,NA,"K01126"
"I5Q89_11050",NA,"QQR11520.1",NA,"K03574",NA,NA,NA,"K03574"
"I5Q89_11055",NA,"QQR11521.1","K03704","K03704",NA,NA,NA,"K03704"
"I5Q89_11065",NA,"QQR11522.1","K03092","K03092",NA,NA,NA,"K03092"
"I5Q89_11070",NA,"QQR11523.1",NA,NA,NA,NA,NA,NA
"I5Q89_11075",NA,"QQR11524.1",NA,"K01990",NA,NA,NA,"K01990"
"I5Q89_11080",NA,"QQR13484.1",NA,NA,NA,NA,NA,NA
"I5Q89_11085",NA,"QQR11525.1","K00789","K00789",NA,NA,NA,"K00789"
"I5Q89_11090",NA,"QQR11526.1",NA,"K18935",NA,NA,NA,"K18935"
"I5Q89_11095",NA,"QQR11527.1","K03930","K03930",NA,"CE1",NA,"K03930"
"I5Q89_11100",NA,"QQR11528.1","K18476","K18476",NA,NA,NA,"K18476"
"I5Q89_11105",NA,"QQR11529.1","K18891","K18891",NA,NA,NA,"K18891"
"I5Q89_11110",NA,"QQR11530.1","K18892","K18892",NA,NA,NA,"K18892"
"I5Q89_11115",NA,"QQR11531.1",NA,"K18135",NA,NA,NA,"K18135"
"I5Q89_11120",NA,"QQR11532.1","K02004","K02004",NA,NA,NA,"K02004"
"I5Q89_11125",NA,"QQR11533.1","K02003","K02003",NA,NA,NA,"K02003"
"I5Q89_11130",NA,"QQR11534.1",NA,NA,NA,NA,NA,NA
"I5Q89_11135",NA,"QQR13485.1","K07139","K07139",NA,NA,NA,"K07139"
"I5Q89_11140",NA,"QQR11535.1",NA,"K19302",NA,NA,NA,"K19302"
"I5Q89_11145",NA,"QQR11536.1",NA,"K11621",NA,NA,NA,"K11621"
"I5Q89_11150",NA,"QQR11537.1",NA,NA,NA,NA,NA,NA
"I5Q89_11155",NA,"QQR11538.1",NA,"K19220,K19223,K21471",NA,NA,NA,"K19220,K19223,K21471"
"I5Q89_11160",NA,"QQR11539.1","K01869","K01869",NA,NA,NA,"K01869"
"I5Q89_11165",NA,"QQR11540.1",NA,NA,NA,NA,NA,NA
"I5Q89_11170",NA,"QQR11541.1",NA,NA,NA,NA,NA,NA
"I5Q89_11175",NA,"QQR11542.1","K02030","K02030",NA,NA,NA,"K02030"
"I5Q89_11180",NA,"QQR11543.1","K02028","K02028",NA,NA,NA,"K02028"
"I5Q89_11185",NA,"QQR11544.1","K02029","K02029",NA,NA,NA,"K02029"
"I5Q89_11190",NA,"QQR11545.1","K02035","K15580",NA,NA,NA,"K15580"
"I5Q89_11195",NA,"QQR11546.1",NA,NA,NA,NA,NA,NA
"I5Q89_11200",NA,"QQR11547.1",NA,NA,NA,NA,NA,NA
"I5Q89_11205",NA,"QQR11548.1","K02897","K02897",NA,NA,NA,"K02897"
"I5Q89_11215",NA,"QQR11549.1","K01560","K01560",NA,NA,NA,"K01560"
"I5Q89_11220",NA,"QQR11550.1",NA,"K01092,K06889,K19063,K19273",NA,NA,NA,"K01092,K06889,K19063,K19273"
"I5Q89_11225","udk","QQR11551.1","K00876","K00876",NA,NA,NA,"K00876"
"I5Q89_11230",NA,"QQR11552.1","K07171","K07171",NA,NA,NA,"K07171"
"I5Q89_11235",NA,"QQR11553.1",NA,"K00078,K00968,K22230",NA,"GH179",NA,"K00078,K00968,K22230"
"I5Q89_11240",NA,"QQR11554.1","K03491","K03483",NA,NA,NA,"K03483"
"I5Q89_11245",NA,"QQR13486.1",NA,NA,NA,NA,NA,NA
"I5Q89_11250",NA,"QQR11555.1",NA,NA,NA,NA,NA,NA
"I5Q89_11255",NA,"QQR11556.1",NA,NA,NA,NA,NA,NA
"I5Q89_11260",NA,"QQR11557.1",NA,NA,NA,NA,NA,NA
"I5Q89_11265",NA,"QQR11558.1",NA,NA,NA,NA,NA,NA
"I5Q89_11270",NA,"QQR11559.1",NA,"K02761",NA,NA,NA,"K02761"
"I5Q89_11275",NA,"QQR11560.1",NA,NA,NA,NA,NA,NA
"I5Q89_11285",NA,"QQR11561.1","K01465","K01465",NA,NA,NA,"K01465"
"I5Q89_11290",NA,"QQR11562.1","K01042","K01042",NA,NA,NA,"K01042"
"I5Q89_11295",NA,"QQR11563.1",NA,NA,NA,NA,NA,NA
"I5Q89_11300",NA,"QQR11564.1",NA,"K00874",NA,NA,NA,"K00874"
"I5Q89_11305",NA,"QQR11565.1",NA,"K02470",NA,NA,NA,"K02470"
"I5Q89_11310",NA,"QQR11566.1","K09768","K09768",NA,NA,NA,"K09768"
"I5Q89_11315",NA,"QQR11567.1","K01921","K01921",NA,NA,NA,"K01921"
"I5Q89_11320",NA,"QQR11568.1","K01929","K01929",NA,NA,NA,"K01929"
"I5Q89_11325",NA,"QQR11569.1","K05592","K05592",NA,NA,NA,"K05592"
"I5Q89_11330",NA,"QQR11570.1","K00997","K00997",NA,NA,NA,"K00997"
"I5Q89_11335",NA,"QQR11571.1","K01775","K01775",NA,NA,NA,"K01775"
"I5Q89_11340",NA,"QQR11572.1","K07171","K07171",NA,NA,NA,"K07171"
"I5Q89_11345",NA,"QQR11573.1",NA,NA,NA,NA,NA,NA
"I5Q89_11350",NA,"QQR11574.1",NA,"K03546",NA,NA,NA,"K03546"
"I5Q89_11355",NA,"QQR11575.1",NA,NA,NA,NA,NA,NA
"I5Q89_11360","lepB","QQR11576.1","K03100","K03100",NA,NA,NA,"K03100"
"I5Q89_11365",NA,"QQR11577.1",NA,NA,NA,NA,NA,NA
"I5Q89_11370",NA,"QQR11578.1","K01104","K01104",NA,NA,NA,"K01104"
"I5Q89_11375",NA,"QQR11579.1",NA,NA,NA,NA,NA,NA
"I5Q89_11380",NA,"QQR11580.1","K01421","K01421",NA,NA,NA,"K01421"
"I5Q89_11385",NA,"QQR11581.1",NA,NA,NA,NA,NA,NA
"I5Q89_11390",NA,"QQR11582.1",NA,NA,NA,NA,NA,NA
"I5Q89_11395",NA,"QQR11583.1",NA,"K00657,K02526,K03830,K07025,K22441",NA,NA,NA,"K00657,K02526,K03830,K07025,K22441"
"I5Q89_11400",NA,"QQR13487.1","K05846","K05846",NA,NA,NA,"K05846"
"I5Q89_11405",NA,"QQR13488.1","K05845","K05845",NA,NA,NA,"K05845"
"I5Q89_11410",NA,"QQR11584.1","K05846","K05846",NA,NA,NA,"K05846"
"I5Q89_11415",NA,"QQR11585.1","K05847","K05847",NA,NA,NA,"K05847"
"I5Q89_11420",NA,"QQR11586.1",NA,"K15975",NA,NA,NA,"K15975"
"I5Q89_11425","queA","QQR11587.1","K07568","K07568",NA,NA,NA,"K07568"
"I5Q89_11430",NA,"QQR11588.1","K07729","K07729",NA,NA,NA,"K07729"
"I5Q89_11435",NA,"QQR11589.1","K01537","K01537",NA,NA,NA,"K01537"
"I5Q89_11440",NA,"QQR11590.1","K03549","K03549",NA,NA,NA,"K03549"
"I5Q89_11445",NA,"QQR11591.1",NA,"K01356,K07467,K07726,K07729,K15773,K18830,K18831,K20391,K22299,K22300,K22491",NA,NA,NA,"K01356,K07467,K07726,K07729,K15773,K18830,K18831,K20391,K22299,K22300,K22491"
"I5Q89_11450",NA,"QQR11592.1","K01533","K01533",NA,NA,NA,"K01533"
"I5Q89_11455",NA,"QQR11593.1",NA,NA,NA,NA,NA,NA
"I5Q89_11460",NA,"QQR11594.1",NA,"K26057",NA,NA,NA,"K26057"
"I5Q89_11465","polA","QQR11595.1","K02335","K02335",NA,NA,NA,"K02335"
"I5Q89_11470","mutM","QQR11596.1","K10563","K10563",NA,NA,NA,"K10563"
"I5Q89_11475",NA,"QQR11597.1","K00859","K00859",NA,NA,NA,"K00859"
"I5Q89_11480","nrdR","QQR11598.1","K07738","K07738",NA,NA,NA,"K07738"
"I5Q89_11485",NA,"QQR11599.1","K03346","K03346",NA,NA,NA,"K03346"
"I5Q89_11490","dnaI","QQR13489.1","K11144","K11144",NA,NA,NA,"K11144"
"I5Q89_11495",NA,"QQR11600.1",NA,NA,NA,"GH126",NA,NA
"I5Q89_11505",NA,"QQR11601.1",NA,NA,NA,NA,NA,NA
"I5Q89_11510",NA,"QQR11602.1",NA,NA,NA,"GT2",NA,NA
"I5Q89_11515",NA,"QQR11603.1",NA,NA,NA,NA,NA,NA
"I5Q89_11520",NA,"QQR11604.1",NA,NA,NA,NA,NA,NA
"I5Q89_11525",NA,"QQR11605.1",NA,NA,NA,NA,NA,NA
"I5Q89_11530",NA,"QQR11606.1","K00812","K10907",NA,NA,NA,"K10907"
"I5Q89_11535",NA,"QQR11607.1","K23060","K23060",NA,NA,NA,"K23060"
"I5Q89_11540",NA,"QQR11608.1","K17077","K17077,K23059",NA,NA,NA,"K17077,K23059"
"I5Q89_11545",NA,"QQR11609.1","K08317","K08317",NA,NA,NA,"K08317"
"I5Q89_11550","tgt","QQR11610.1","K00773","K00773",NA,NA,NA,"K00773"
"I5Q89_11555","yajC","QQR11611.1","K03210","K03210",NA,NA,NA,"K03210"
"I5Q89_11560",NA,"QQR11612.1",NA,NA,NA,NA,NA,NA
"I5Q89_11565","adhE","QQR11613.1","K04072","K04072",NA,NA,NA,"K04072"
"I5Q89_11570",NA,"QQR11614.1","K01823","K01823",NA,NA,NA,"K01823"
"I5Q89_11575",NA,"QQR11615.1","K00938","K00938",NA,NA,NA,"K00938"
"I5Q89_11580","mvaD","QQR11616.1","K01597","K01597",NA,NA,NA,"K01597"
"I5Q89_11585","mvk","QQR11617.1","K00869","K00869",NA,NA,NA,"K00869"
"I5Q89_11590",NA,"QQR11618.1",NA,NA,NA,NA,NA,NA
"I5Q89_11595",NA,"QQR11619.1",NA,NA,NA,NA,NA,NA
"I5Q89_11600",NA,"QQR11620.1","K15580","K15580",NA,NA,NA,"K15580"
"I5Q89_11605",NA,"QQR11621.1",NA,NA,NA,NA,NA,NA
"I5Q89_11610",NA,"QQR11622.1","K15581","K15581",NA,NA,NA,"K15581"
"I5Q89_11615",NA,"QQR11623.1","K15582","K15582",NA,NA,NA,"K15582"
"I5Q89_11620",NA,"QQR11624.1","K15583","K15583",NA,NA,NA,"K15583"
"I5Q89_11625",NA,"QQR11625.1","K10823","K10823",NA,NA,NA,"K10823"
"I5Q89_11630",NA,"QQR11626.1","K07496","K07496",NA,NA,NA,"K07496"
"I5Q89_11635","infC","QQR11627.1","K02520","K02520",NA,NA,NA,"K02520"
"I5Q89_11640","rpmI","QQR11628.1","K02916","K02916",NA,NA,NA,"K02916"
"I5Q89_11645","rplT","QQR11629.1","K02887","K02887",NA,NA,NA,"K02887"
"I5Q89_11650",NA,"QQR11630.1",NA,NA,NA,NA,NA,NA
"I5Q89_11655",NA,"QQR11631.1","K08987","K08987",NA,NA,NA,"K08987"
"I5Q89_11660",NA,"QQR11632.1","K03826","K03827",NA,NA,NA,"K03827"
"I5Q89_11665",NA,"QQR11633.1",NA,NA,NA,NA,NA,NA
"I5Q89_11670",NA,"QQR11634.1","K03321","K03321",NA,NA,NA,"K03321"
"I5Q89_11675",NA,"QQR11635.1",NA,NA,NA,NA,NA,NA
"I5Q89_11680",NA,"QQR11636.1","K21900","K21900",NA,NA,NA,"K21900"
"I5Q89_11685",NA,"QQR11637.1",NA,NA,NA,NA,NA,NA
"I5Q89_11690",NA,"QQR11638.1",NA,NA,NA,NA,NA,NA
"I5Q89_11695",NA,"QQR11639.1","K19082","K19082",NA,NA,NA,"K19082"
"I5Q89_11700",NA,"QQR11640.1","K19081","K19081",NA,NA,NA,"K19081"
"I5Q89_11705",NA,"QQR11641.1","K05340","K05340",NA,NA,NA,"K05340"
"I5Q89_11710",NA,"QQR11642.1","K03294","K03294",NA,NA,NA,"K03294"
"I5Q89_11715","metG","QQR11643.1","K01874","K01874",NA,NA,NA,"K01874"
"I5Q89_11720",NA,"QQR11644.1",NA,NA,NA,NA,NA,NA
"I5Q89_11725",NA,"QQR11645.1",NA,NA,NA,NA,NA,NA
"I5Q89_11730",NA,"QQR11646.1","K03657","K03657",NA,NA,NA,"K03657"
"I5Q89_11735",NA,"QQR11647.1","K03424","K03424",NA,NA,NA,"K03424"
"I5Q89_11740","rnmV","QQR11648.1","K05985","K05985",NA,NA,NA,"K05985"
"I5Q89_11745","rsmA","QQR11649.1","K02528","K02528",NA,NA,NA,"K02528"
"I5Q89_11750",NA,"QQR11650.1","K16788","K16788",NA,NA,NA,"K16788"
"I5Q89_11755","ugpC","QQR11651.1","K10112","K10112",NA,NA,NA,"K10112"
"I5Q89_11760","mgsA","QQR11652.1","K01734","K01734",NA,NA,NA,"K01734"
"I5Q89_11765",NA,"QQR11653.1",NA,"K16789,K23675",NA,NA,NA,"K16789,K23675"
"I5Q89_11770",NA,"QQR11654.1","K18888","K18888",NA,NA,NA,"K18888"
"I5Q89_11775",NA,"QQR11655.1","K18887","K18887",NA,NA,NA,"K18887"
"I5Q89_11780",NA,"QQR11656.1",NA,NA,NA,NA,NA,NA
"I5Q89_11785",NA,"QQR13490.1",NA,"K03642,K21471",NA,NA,NA,"K03642,K21471"
"I5Q89_11790",NA,"QQR11657.1",NA,"K06977",NA,NA,NA,"K06977"
"I5Q89_11795",NA,"QQR11658.1",NA,NA,NA,NA,NA,NA
"I5Q89_11800",NA,"QQR11659.1",NA,"K21064",NA,NA,NA,"K21064"
"I5Q89_11805",NA,"QQR11660.1","K03648","K03648",NA,NA,NA,"K03648"
"I5Q89_11810","pta","QQR11661.1","K00625","K00625",NA,NA,NA,"K00625"
"I5Q89_11815","tsaE","QQR11662.1","K06925","K06925",NA,NA,NA,"K06925"
"I5Q89_11820",NA,"QQR11663.1",NA,"K03825",NA,NA,NA,"K03825"
"I5Q89_11825",NA,"QQR11664.1",NA,NA,NA,NA,NA,NA
"I5Q89_11830","bopD","QQR11665.1","K02529","K02529",NA,NA,NA,"K02529"
"I5Q89_11835",NA,"QQR11666.1","K01785","K01785",NA,NA,NA,"K01785"
"I5Q89_11840","pgmB","QQR11667.1","K01838","K01838",NA,NA,NA,"K01838"
"I5Q89_11845",NA,"QQR11668.1","K00691","K00691",NA,"GH65",NA,"K00691"
"I5Q89_11850",NA,"QQR11669.1","K20108","K20108",NA,NA,NA,"K20108"
"I5Q89_11855",NA,"QQR11670.1","K06896","K06896",NA,NA,NA,"K06896"
"I5Q89_11860","proC","QQR11671.1","K00286","K00286",NA,NA,NA,"K00286"
"I5Q89_11865",NA,"QQR11672.1",NA,"K02099,K07720,K13530,K18991",NA,NA,NA,"K02099,K07720,K13530,K18991"
"I5Q89_11870",NA,"QQR11673.1",NA,NA,NA,NA,NA,NA
"I5Q89_11875",NA,"QQR11674.1","K16904",NA,NA,NA,NA,"K16904"
"I5Q89_11880",NA,"QQR11675.1","K16917","K16917",NA,NA,NA,"K16917"
"I5Q89_11885",NA,"QQR11676.1",NA,"K19575",NA,NA,NA,"K19575"
"I5Q89_11895","rplU","QQR11677.1","K02888","K02888",NA,NA,NA,"K02888"
"I5Q89_11900",NA,"QQR11678.1","K07584","K07584",NA,NA,NA,"K07584"
"I5Q89_11905","rpmA","QQR11679.1","K02899","K02899",NA,NA,NA,"K02899"
"I5Q89_11910","psiE","QQR11680.1","K13256","K13256",NA,NA,NA,"K13256"
"I5Q89_11915",NA,"QQR11681.1","K07098","K07098",NA,NA,NA,"K07098"
"I5Q89_11920",NA,"QQR11682.1","K01262","K01262",NA,NA,NA,"K01262"
"I5Q89_11925",NA,"QQR11683.1",NA,NA,NA,NA,NA,NA
"I5Q89_11930",NA,"QQR11684.1",NA,NA,NA,NA,NA,NA
"I5Q89_11935","nusB","QQR11685.1","K03625","K03625",NA,NA,NA,"K03625"
"I5Q89_11940",NA,"QQR11686.1","K01491","K01491",NA,NA,NA,"K01491"
"I5Q89_11945",NA,"QQR11687.1","K03601","K03601",NA,NA,NA,"K03601"
"I5Q89_11950",NA,"QQR11688.1","K03602","K03602",NA,NA,NA,"K03602"
"I5Q89_11955",NA,"QQR11689.1","K13789","K13789",NA,NA,NA,"K13789"
"I5Q89_11960",NA,"QQR11690.1","K06442","K06442",NA,NA,NA,"K06442"
"I5Q89_11965",NA,"QQR11691.1","K03402","K03402",NA,NA,NA,"K03402"
"I5Q89_11970","recN","QQR11692.1","K03631","K03631",NA,NA,NA,"K03631"
"I5Q89_11975",NA,"QQR11693.1",NA,NA,NA,NA,NA,NA
"I5Q89_11980",NA,"QQR11694.1","K03284","K03284",NA,NA,NA,"K03284"
"I5Q89_11985",NA,"QQR11695.1",NA,NA,NA,NA,NA,NA
"I5Q89_11990","mraZ","QQR11696.1","K03925","K03925",NA,NA,NA,"K03925"
"I5Q89_11995","rsmH","QQR13491.1","K03438","K03438",NA,NA,NA,"K03438"
"I5Q89_12000","ftsL","QQR11697.1",NA,"K03586",NA,NA,NA,"K03586"
"I5Q89_12005",NA,"QQR11698.1","K12556","K12556",NA,NA,NA,"K12556"
"I5Q89_12010",NA,"QQR11699.1","K01000","K01000",NA,NA,NA,"K01000"
"I5Q89_12015",NA,"QQR11700.1","K01925","K01925",NA,NA,NA,"K01925"
"I5Q89_12020","murG","QQR11701.1","K02563","K02563",NA,"GT28",NA,"K02563"
"I5Q89_12025",NA,"QQR11702.1","K03589","K03589",NA,NA,NA,"K03589"
"I5Q89_12030","ftsA","QQR11703.1","K03590","K03590",NA,NA,NA,"K03590"
"I5Q89_12035","ftsZ","QQR11704.1","K03531","K03531",NA,NA,NA,"K03531"
"I5Q89_12040",NA,"QQR11705.1","K06997","K06997",NA,NA,NA,"K06997"
"I5Q89_12045",NA,"QQR13492.1","K09772","K09772",NA,NA,NA,"K09772"
"I5Q89_12050",NA,"QQR13493.1","K02221","K02221",NA,NA,NA,"K02221"
"I5Q89_12055",NA,"QQR11706.1",NA,NA,NA,NA,NA,NA
"I5Q89_12060","divIVA","QQR11707.1","K04074","K04074",NA,NA,NA,"K04074"
"I5Q89_12065","ileS","QQR11708.1","K01870","K01870",NA,NA,NA,"K01870"
"I5Q89_12070",NA,"QQR11709.1","K00036","K00036",NA,NA,NA,"K00036"
"I5Q89_12075",NA,"QQR11710.1","K03709","K03709",NA,NA,NA,"K03709"
"I5Q89_12080",NA,"QQR11711.1",NA,NA,NA,NA,NA,NA
"I5Q89_12085","sfsA","QQR11712.1","K06206","K06206",NA,NA,NA,"K06206"
"I5Q89_12090",NA,"QQR11713.1",NA,NA,NA,NA,NA,NA
"I5Q89_12095",NA,"QQR11714.1",NA,"K05592,K18692",NA,NA,NA,"K05592,K18692"
"I5Q89_12100",NA,"QQR11715.1",NA,"K17473,K19505",NA,NA,NA,"K17473,K19505"
"I5Q89_12105",NA,"QQR11716.1","K02760","K02760",NA,NA,NA,"K02760"
"I5Q89_12110",NA,"QQR11717.1","K02761","K02761",NA,NA,NA,"K02761"
"I5Q89_12115",NA,"QQR11718.1",NA,NA,NA,NA,NA,NA
"I5Q89_12120",NA,"QQR11719.1",NA,NA,NA,NA,NA,NA
"I5Q89_12125",NA,"QQR11720.1",NA,NA,NA,NA,NA,NA
"I5Q89_12130",NA,"QQR11721.1","K02760","K02760",NA,NA,NA,"K02760"
"I5Q89_12135",NA,"QQR11722.1","K02759","K02759",NA,NA,NA,"K02759"
"I5Q89_12140",NA,"QQR11723.1","K02761","K02761",NA,NA,NA,"K02761"
"I5Q89_12145",NA,"QQR11724.1","K01223","K01223",NA,"GH1",NA,"K01223"
"I5Q89_12150",NA,"QQR11725.1",NA,NA,NA,NA,NA,NA
"I5Q89_12160",NA,"QQR11726.1",NA,NA,NA,NA,NA,NA
"I5Q89_12165","ppdK","QQR11727.1","K01006","K01006",NA,NA,NA,"K01006"
"I5Q89_12170",NA,"QQR13494.1","K23774","K23774",NA,NA,NA,"K23774"
"I5Q89_12175",NA,"QQR11728.1","K09773","K09773",NA,NA,NA,"K09773"
"I5Q89_12180","mprF","QQR11729.1","K14205","K14205",NA,NA,NA,"K14205"
"I5Q89_12185",NA,"QQR11730.1","K01055","K00433",NA,NA,NA,"K00433"
"I5Q89_12190",NA,"QQR11731.1",NA,NA,NA,NA,NA,NA
"I5Q89_12195",NA,"QQR11732.1",NA,NA,NA,NA,NA,NA
"I5Q89_12205",NA,"QQR11733.1","K19176","K26817",NA,NA,NA,"K26817"
"I5Q89_12210",NA,"QQR11734.1",NA,NA,NA,NA,NA,NA
"I5Q89_12215",NA,"QQR11735.1",NA,NA,NA,NA,NA,NA
"I5Q89_12220","ndk","QQR11736.1","K00940","K00940",NA,NA,NA,"K00940"
"I5Q89_12225","aspD","QQR11737.1",NA,"K09758",NA,NA,NA,"K09758"
"I5Q89_12230",NA,"QQR11738.1",NA,NA,NA,NA,NA,NA
"I5Q89_12235",NA,"QQR11739.1","K21064","K21064",NA,NA,NA,"K21064"
"I5Q89_12240",NA,"QQR13495.1",NA,NA,NA,NA,NA,NA
"I5Q89_12245",NA,"QQR11740.1","K06901","K06901",NA,NA,NA,"K06901"
"I5Q89_12250",NA,"QQR11741.1","K08161","K08161",NA,NA,NA,"K08161"
"I5Q89_12255",NA,"QQR11742.1",NA,NA,NA,NA,NA,NA
"I5Q89_12260","dnaE","QQR11743.1","K02337","K02337",NA,NA,NA,"K02337"
"I5Q89_12265","pfkA","QQR11744.1","K00850","K00850",NA,NA,NA,"K00850"
"I5Q89_12270","pyk","QQR11745.1","K00873","K00873",NA,NA,NA,"K00873"
"I5Q89_12275",NA,"QQR11746.1","K07040","K07040",NA,NA,NA,"K07040"
"I5Q89_12280","rpmF","QQR11747.1","K02911","K02911",NA,NA,NA,"K02911"
"I5Q89_12285","gndA","QQR11748.1","K00033","K00033",NA,NA,NA,"K00033"
"I5Q89_12290",NA,"QQR11749.1","K18941","K18941",NA,NA,NA,"K18941"
"I5Q89_12295",NA,"QQR11750.1","K18940","K18940",NA,NA,NA,"K18940"
"I5Q89_12380",NA,"QQR11751.1",NA,"K03733,K04763,K14059,K16898",NA,NA,NA,"K03733,K04763,K14059,K16898"
"I5Q89_12395","arsD","QQR11752.1",NA,NA,NA,NA,NA,NA
"I5Q89_12400",NA,"QQR11753.1","K03892","K03892",NA,NA,NA,"K03892"
"I5Q89_12405",NA,"QQR11754.1",NA,"K03823,K24217",NA,NA,NA,"K03823,K24217"
"I5Q89_12410","arsA","QQR11755.1","K01551","K01551",NA,NA,NA,"K01551"
"I5Q89_12415","arsB","QQR13496.1","K03325","K03325",NA,NA,NA,"K03325"
"I5Q89_12420","arsB","QQR13497.1","K03325","K03325",NA,NA,NA,"K03325"
"I5Q89_12425",NA,"QQR11756.1",NA,"K02439,K08255",NA,NA,NA,"K02439,K08255"
"I5Q89_12430",NA,"QQR11757.1",NA,NA,NA,NA,NA,NA
"I5Q89_12435",NA,"QQR11758.1","K21903","K21903",NA,NA,NA,"K21903"
"I5Q89_12440","cadA","QQR11759.1","K01534","K01534",NA,NA,NA,"K01534"
"I5Q89_12445",NA,"QQR11760.1",NA,"K01181,K21449",NA,NA,NA,"K01181,K21449"
"I5Q89_12450",NA,"QQR11761.1",NA,NA,NA,NA,NA,NA
"I5Q89_12455",NA,"QQR11762.1",NA,NA,NA,NA,NA,NA
